,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22,Anthony Avent,PF,26,VAN,71,32,1586,4.1,10.6,.384,0.0,0.0,,4.1,10.6,.384,1.3,1.7,.740,2.5,5.6,8.1,1.6,0.7,1.0,2.4,4.6,9.4
23,Vin Baker,PF,24,MIL,82,82,3319,7.6,15.5,.489,0.1,0.5,.208,7.5,15.0,.499,3.5,5.2,.670,2.9,5.9,8.8,2.3,0.7,1.0,2.3,3.0,18.8
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Steve Bardo,SG,27,DET,9,0,123,2.6,6.7,.391,0.0,1.2,.000,2.6,5.6,.474,1.2,1.8,.667,0.6,5.9,6.4,4.4,1.2,0.3,1.5,5.0,6.4
26,Charles Barkley*,PF,32,PHO,71,71,2632,7.9,15.9,.500,0.7,2.4,.280,7.3,13.5,.539,6.0,7.7,.777,3.3,7.9,11.2,3.6,1.6,0.8,3.0,2.8,22.6
27,Dana Barros,PG,28,BOS,80,25,2328,5.9,12.5,.470,2.3,5.7,.408,3.5,6.8,.523,2.0,2.3,.884,0.3,2.6,3.0,4.7,0.9,0.0,1.9,1.8,16.1
28,Brent Barry,SG,24,LAC,79,44,1898,5.4,11.3,.474,2.3,5.6,.416,3.0,5.7,.532,2.1,2.6,.810,0.7,2.5,3.2,4.4,1.8,0.4,2.3,3.7,15.2
29,Jon Barry,SG,26,GSW,68,0,712,4.6,9.4,.492,2.2,4.7,.473,2.4,4.7,.511,1.6,1.9,.838,0.9,2.3,3.2,4.3,1.7,0.6,2.1,2.6,13.0
30,Corey Beck,PG,24,CHH,5,0,33,2.2,8.7,.250,0.0,0.0,,2.2,8.7,.250,1.1,2.2,.500,3.3,4.4,7.6,5.5,1.1,0.0,4.4,8.7,5.5
31,Benoit Benjamin,C,31,TOT,83,71,1896,5.6,11.2,.498,0.0,0.1,.000,5.6,11.1,.501,2.7,3.7,.722,2.7,7.6,10.2,1.2,0.9,1.6,2.7,4.3,13.8
32,Benoit Benjamin,C,31,VAN,13,13,404,6.3,14.3,.441,0.0,0.0,,6.3,14.3,.441,3.5,5.0,.696,2.8,6.4,9.2,1.4,0.9,1.3,3.0,3.6,16.1
33,Benoit Benjamin,C,31,MIL,70,58,1492,5.4,10.4,.520,0.0,0.1,.000,5.4,10.3,.523,2.4,3.3,.732,2.7,7.9,10.5,1.2,0.8,1.7,2.7,4.4,13.2
34,Elmer Bennett,PG,25,PHI,8,0,66,2.2,9.3,.235,0.0,0.0,,2.2,9.3,.235,1.6,2.2,.750,0.5,2.2,2.7,4.4,0.5,0.5,3.8,3.3,6.0
35,Mario Bennett,SF,22,PHO,19,14,230,4.5,10.0,.453,0.0,0.2,.000,4.5,9.9,.460,4.2,6.6,.643,3.3,4.4,7.7,0.9,1.7,1.7,1.7,7.2,13.3
36,David Benoit,SF,27,UTA,81,63,1961,4.7,10.7,.439,1.2,3.5,.333,3.5,7.1,.491,1.6,2.1,.777,1.7,5.4,7.0,1.5,0.8,0.9,1.3,3.0,12.1
37,Travis Best,PG,23,IND,59,1,571,4.4,10.3,.423,0.5,1.6,.320,3.8,8.7,.442,4.7,5.7,.833,0.7,2.1,2.8,6.1,1.3,0.2,4.0,5.0,13.9
38,Mookie Blaylock,PG,28,ATL,81,81,2893,5.7,14.0,.405,2.9,7.8,.371,2.8,6.2,.448,1.6,2.1,.747,1.4,2.8,4.1,5.9,2.6,0.2,2.3,1.9,15.8
39,Corie Blount,PF,27,LAL,57,2,715,4.0,8.4,.473,0.0,0.1,.000,4.0,8.3,.479,1.3,2.2,.568,3.5,5.1,8.6,2.1,1.3,1.8,2.4,5.5,9.2
40,Muggsy Bogues,PG,31,CHH,6,0,77,2.8,7.5,.375,0.0,0.5,.000,2.8,7.0,.400,0.9,0.9,1.000,2.8,0.5,3.3,8.9,0.9,0.0,2.8,1.9,6.5
41,Anthony Bonner,PF,27,ORL,4,0,43,4.2,12.6,.333,0.0,0.0,,4.2,12.6,.333,2.5,5.9,.429,5.0,10.9,15.9,3.3,2.5,0.0,2.5,9.2,10.9
42,Melvin Booker,PG,23,HOU,11,0,131,4.4,13.7,.320,0.8,5.2,.158,3.6,8.5,.419,2.5,3.0,.818,0.3,2.2,2.5,5.8,1.4,0.3,3.3,4.9,12.1
43,Anthony Bowie,SG,32,ORL,74,4,1078,4.3,9.1,.471,0.4,1.0,.387,3.9,8.0,.481,1.3,1.5,.870,1.3,2.8,4.1,3.5,1.1,0.3,1.8,3.7,10.3
44,Donnie Boyce,SG,22,ATL,8,0,41,7.9,20.2,.391,3.5,7.0,.500,4.4,13.2,.333,1.8,3.5,.500,4.4,4.4,8.8,2.6,2.6,0.9,5.3,1.8,21.1
45,Shawn Bradley,C,23,TOT,79,68,2329,6.0,13.5,.443,0.0,0.1,.250,6.0,13.4,.444,2.6,3.8,.687,3.4,6.4,9.9,1.0,0.8,4.5,2.8,4.4,14.6
46,Shawn Bradley,C,23,PHI,12,11,334,4.6,10.5,.443,0.0,0.0,,4.6,10.5,.443,2.0,2.7,.760,3.7,7.8,11.4,0.9,0.9,4.1,3.3,4.5,11.3
47,Shawn Bradley,C,23,NJN,67,57,1995,6.2,14.0,.443,0.0,0.1,.250,6.2,13.9,.444,2.7,4.0,.679,3.4,6.2,9.6,1.0,0.7,4.5,2.7,4.4,15.1
48,Marques Bragg,PF,25,MIN,53,0,369,5.3,11.7,.450,0.0,0.0,,5.3,11.7,.450,2.2,4.0,.561,3.7,4.0,7.7,0.8,1.7,0.8,2.5,6.9,12.8
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Terrell Brandon,PG,25,CLE,75,75,2570,7.1,15.4,.465,1.3,3.3,.387,5.9,12.1,.487,4.7,5.3,.887,0.7,2.8,3.5,6.8,1.8,0.5,2.0,2.0,20.3
51,Tim Breaux,SF,25,HOU,54,4,570,3.7,10.2,.366,0.9,2.9,.326,2.8,7.3,.383,1.8,2.8,.622,1.4,2.4,3.8,1.5,0.7,0.5,1.9,2.7,10.2
52,Frank Brickowski,C,36,SEA,63,8,986,4.5,9.2,.488,1.2,2.9,.405,3.3,6.3,.526,2.2,3.1,.709,0.9,4.6,5.5,2.1,0.9,0.3,2.8,6.8,12.4
53,Scott Brooks,PG,30,DAL,69,0,716,6.7,14.7,.457,1.3,3.1,.403,5.5,11.6,.472,3.0,3.5,.855,0.6,1.5,2.1,5.0,2.1,0.2,2.2,2.7,17.7
54,Chucky Brown,PF,27,HOU,82,82,2019,5.3,9.9,.541,0.0,0.1,.125,5.3,9.8,.547,1.9,2.7,.693,2.4,5.5,7.9,1.6,0.8,0.7,1.7,2.9,12.6
55,Dee Brown,PG,27,BOS,65,23,1591,5.6,13.9,.399,1.5,5.0,.309,4.0,9.0,.449,3.1,3.6,.854,0.8,2.3,3.1,3.3,1.8,0.3,1.7,2.7,15.7
56,Mike Brown,C,32,PHI,9,1,162,2.0,3.6,.563,0.0,0.0,,2.0,3.6,.563,1.8,3.8,.471,3.1,5.1,8.2,0.7,0.7,0.4,1.3,5.3,5.8
57,P.J. Brown,C,26,NJN,81,81,2942,4.3,9.8,.444,0.0,0.2,.200,4.3,9.6,.448,2.5,3.2,.770,2.6,4.2,6.9,2.0,1.0,1.2,1.6,3.0,11.2
58,Randy Brown,PG,27,CHI,68,0,671,4.2,10.3,.406,0.1,0.6,.091,4.1,9.7,.425,1.5,2.5,.609,0.9,2.6,3.5,3.9,3.1,0.6,1.7,4.7,9.9
59,Mark Bryant,PF,30,HOU,71,9,1587,5.5,10.1,.543,0.0,0.0,.000,5.5,10.1,.545,2.9,4.0,.718,3.0,5.0,8.0,1.2,0.7,0.4,1.9,5.3,13.9
60,Jud Buechler,SF,27,CHI,74,0,740,5.4,11.8,.463,1.9,4.4,.444,3.5,7.4,.474,0.7,1.1,.636,2.2,3.2,5.4,2.7,1.7,0.3,1.9,3.4,13.5
61,Matt Bullard,PF,28,ATL,46,0,460,5.2,12.7,.407,2.0,5.6,.361,3.1,7.0,.444,1.3,1.6,.800,1.4,3.3,4.7,1.4,1.3,0.9,1.9,3.9,13.6
62,Scott Burrell,SF,25,CHH,20,20,693,4.8,10.7,.447,1.9,5.1,.378,2.9,5.6,.509,2.2,2.9,.750,1.4,3.7,5.1,2.4,1.4,0.7,2.2,3.9,13.7
63,Junior Burrough,PF,23,BOS,61,3,495,4.7,12.4,.376,0.0,0.0,,4.7,12.4,.376,4.4,6.8,.656,3.3,4.7,7.9,1.1,1.1,0.7,2.9,5.4,13.7
