,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
106,Terry Cummings,PF,32.0,SAS,59.0,1133.0,12.7,0.452,0.005,0.25,13.8,15.6,14.8,6.9,1.5,0.8,11.0,21.1,,0.4,1.4,1.8,0.076,,-2.4,-1.3,-3.7,-0.5,1994
107,Earl Cureton,PF,36.0,HOU,2.0,30.0,2.2,0.225,0.0,0.25,15.7,28.1,22.2,0.0,0.0,0.0,10.1,14.6,,-0.1,0.0,0.0,-0.06,,-7.6,-5.8,-13.4,-0.1,1994
108,Dell Curry,SG,29.0,CHH,82.0,2173.0,18.5,0.5429999999999999,0.32299999999999995,0.114,3.7,9.4,6.7,16.7,2.2,0.8,8.9,26.5,,3.6,1.4,5.0,0.11,,3.5,-0.8,2.8,2.6,1994
109,Michael Curry,SG,25.0,PHI,10.0,43.0,-3.9,0.28600000000000003,0.14300000000000002,0.28600000000000003,0.0,2.6,1.3,3.3,1.2,0.0,16.0,19.0,,-0.2,0.0,-0.2,-0.217,,-10.7,-2.8,-13.5,-0.1,1994
110,Lloyd Daniels,SG,26.0,SAS,65.0,980.0,11.2,0.462,0.336,0.172,5.4,7.2,6.4,14.5,1.6,1.1,13.0,21.0,,0.2,0.9,1.1,0.054000000000000006,,-0.3,-0.5,-0.7,0.3,1994
111,Brad Daugherty,C,28.0,CLE,50.0,1838.0,18.4,0.5660000000000001,0.0,0.5379999999999999,8.1,24.1,16.1,12.9,1.2,1.3,12.8,21.0,,3.9,2.6,6.4,0.168,,1.7,0.3,1.9,1.8,1994
112,Antonio Davis,PF,25.0,IND,81.0,1732.0,15.2,0.561,0.002,0.711,13.2,20.3,16.9,4.7,1.3,3.3,16.1,16.8,,2.3,2.8,5.0,0.139,,-0.2,0.3,0.1,0.9,1994
113,Brian Davis,SF,23.0,MIN,68.0,374.0,9.2,0.42,0.024,0.54,6.7,10.4,8.6,9.1,2.2,0.7,10.9,20.4,,-0.2,0.2,0.0,0.0,,-3.5,-1.3,-4.7,-0.3,1994
114,Dale Davis,PF,24.0,IND,66.0,2292.0,15.9,0.542,0.002,0.505,14.7,21.3,18.1,6.5,1.1,3.2,12.5,15.6,,3.5,3.6,7.0,0.147,,1.0,0.3,1.2,1.9,1994
115,Hubert Davis,SG,23.0,NYK,56.0,1333.0,14.0,0.5579999999999999,0.261,0.204,2.0,3.7,2.8,20.4,1.6,0.2,12.1,20.6,,2.3,1.9,4.2,0.152,,1.0,0.5,1.5,1.2,1994
116,Terry Davis,PF,26.0,DAL,15.0,286.0,9.6,0.436,0.0,0.203,11.0,18.7,14.5,3.0,1.6,0.2,7.2,10.3,,0.2,0.2,0.4,0.059000000000000004,,-2.2,-1.1,-3.3,-0.1,1994
117,Johnny Dawkins,PG,30.0,PHI,72.0,1343.0,13.5,0.509,0.248,0.23600000000000002,2.3,7.8,5.0,30.1,2.4,0.2,19.2,18.7,,0.6,0.6,1.1,0.040999999999999995,,-0.6,-1.2,-1.8,0.1,1994
118,Todd Day,SG,24.0,MIL,76.0,2127.0,13.5,0.488,0.175,0.392,5.9,11.2,8.4,10.7,2.5,1.7,11.5,22.8,,0.6,1.5,2.1,0.047,,-1.2,-0.7,-1.9,0.1,1994
119,Terry Dehere,PG,22.0,LAC,64.0,759.0,9.5,0.45299999999999996,0.16699999999999998,0.237,3.5,6.0,4.8,15.2,1.8,0.2,13.9,23.9,,-0.7,0.2,-0.4,-0.027999999999999997,,-3.5,-2.3,-5.8,-0.7,1994
120,Vinny Del Negro,SG,27.0,SAS,77.0,1949.0,15.3,0.545,0.068,0.268,1.6,7.4,4.6,25.5,1.7,0.0,12.6,18.6,,4.0,1.7,5.7,0.14,,-0.1,0.0,-0.1,0.9,1994
121,Bison Dele,C,24.0,DEN,80.0,1507.0,16.5,0.574,0.006,0.455,10.5,22.0,16.4,5.2,1.6,3.6,15.7,18.7,,1.8,2.9,4.7,0.151,,-0.9,1.3,0.4,0.9,1994
122,Dell Demps,PG,23.0,GSW,2.0,11.0,4.5,0.29100000000000004,0.0,0.33299999999999996,0.0,0.0,0.0,12.9,8.8,0.0,12.7,29.5,,-0.1,0.0,0.0,-0.207,,-10.5,2.4,-8.0,0.0,1994
123,Vlade Divac,C,25.0,LAL,79.0,2685.0,18.8,0.546,0.053,0.33899999999999997,10.9,24.0,17.2,17.2,1.7,2.6,15.7,19.1,,4.2,3.2,7.4,0.132,,1.5,0.8,2.3,2.9,1994
