,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
12,Winston Bennett,SF,24.0,CLE,5.0,5.0,27.0,4.6,9.4,0.489,0.0,0.0,,4.6,9.4,0.489,0.489,0.8,1.2,0.667,2.8,1.4,4.2,1.0,0.6,0.2,0.8,2.2,10.0,1990
13,Larry Bird,SF,33.0,BOS,5.0,5.0,41.4,8.8,19.8,0.444,1.0,3.8,0.263,7.8,16.0,0.488,0.47,5.8,6.4,0.9059999999999999,1.4,7.8,9.2,8.8,1.0,1.0,3.6,2.0,24.4,1990
14,Uwe Blab,C,27.0,SAS,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.5,3.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1990
15,Rolando Blackman,SG,30.0,DAL,3.0,3.0,42.3,8.0,18.0,0.444,0.7,1.7,0.4,7.3,16.3,0.449,0.46299999999999997,3.3,3.3,1.0,0.7,2.3,3.0,4.3,2.0,0.7,4.3,2.3,20.0,1990
16,Anthony Bowie,SG,26.0,HOU,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1990
17,Frank Brickowski,C,30.0,SAS,10.0,0.0,16.1,3.1,5.4,0.574,0.0,0.0,,3.1,5.4,0.574,0.574,1.7,2.6,0.654,1.6,2.8,4.4,1.1,0.8,0.1,1.5,3.1,7.9,1990
18,Scott Brooks,PG,24.0,PHI,9.0,0.0,11.0,0.7,2.1,0.316,0.3,0.8,0.429,0.3,1.3,0.25,0.395,0.7,1.0,0.667,0.2,0.7,0.9,1.8,0.3,0.0,0.8,1.4,2.3,1990
19,Mike Brown,C,26.0,UTA,5.0,0.0,13.4,1.4,3.0,0.467,0.0,0.0,,1.4,3.0,0.467,0.467,0.8,1.0,0.8,1.0,1.0,2.0,0.6,0.2,0.2,1.0,2.2,3.6,1990
21,Raymond Brown,PF,24.0,UTA,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1990
22,Tony Brown,SF,29.0,MIL,2.0,0.0,6.5,0.5,1.5,0.33299999999999996,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,1990
23,Mark Bryant,PF,24.0,POR,13.0,0.0,12.3,1.4,2.5,0.545,0.0,0.0,,1.4,2.5,0.545,0.545,0.5,0.6,0.75,0.7,1.5,2.2,0.2,0.2,0.2,0.9,2.1,3.2,1990
24,Adrian Caldwell,PF,23.0,HOU,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
25,Joe Barry Carroll,C,31.0,DEN,3.0,3.0,15.3,3.0,5.3,0.563,0.0,0.0,,3.0,5.3,0.563,0.563,0.7,0.7,1.0,0.3,2.7,3.0,1.0,0.3,1.7,0.3,2.0,6.7,1990
