,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
108,Anthony Mason,PF,28,NYK,11,0,352,3.2,5.2,.608,0.0,0.1,.000,3.2,5.1,.620,4.4,7.1,.623,2.4,4.6,7.0,2.5,0.6,0.6,2.7,2.9,10.7
109,Vernon Maxwell,SG,29,HOU,1,0,16,2.3,15.8,.143,0.0,4.5,.000,2.3,11.3,.200,2.3,2.3,1.000,0.0,6.8,6.8,2.3,0.0,0.0,2.3,2.3,6.8
110,Xavier McDaniel,SF,31,BOS,4,0,59,3.1,10.4,.294,0.0,0.6,.000,3.1,9.8,.313,1.8,2.4,.750,1.2,2.4,3.7,3.1,0.0,0.0,3.7,3.1,7.9
111,Derrick McKey,SF,28,IND,17,17,592,4.6,10.6,.437,0.7,2.1,.314,4.0,8.5,.468,3.3,3.8,.871,1.8,3.2,4.9,3.9,1.0,0.7,2.2,4.0,13.2
112,Aaron McKie,SG,22,POR,3,0,34,8.5,14.8,.571,1.1,2.1,.500,7.4,12.7,.583,0.0,0.0,,0.0,2.1,2.1,1.1,3.2,0.0,0.0,4.2,18.0
113,Nate McMillan,PG,30,SEA,4,4,113,2.5,7.3,.348,0.3,2.5,.125,2.2,4.8,.467,0.6,0.6,1.000,2.2,3.5,5.7,9.2,3.2,0.6,2.2,4.1,6.1
114,Anthony Miller,PF,23,LAL,4,0,15,0.0,4.8,.000,0.0,0.0,,0.0,4.8,.000,0.0,0.0,,4.8,9.6,14.4,2.4,2.4,0.0,2.4,4.8,0.0
115,Reggie Miller*,SG,29,IND,17,17,641,7.8,16.3,.476,3.0,7.2,.422,4.7,9.1,.519,5.8,6.8,.860,0.5,2.9,3.4,2.0,0.8,0.2,2.2,2.0,24.4
116,Chris Mills,SF,25,CLE,4,4,139,5.2,9.6,.541,2.1,3.6,.571,3.1,6.0,.522,1.3,1.3,1.000,0.5,3.6,4.1,2.8,0.8,0.5,1.6,4.7,13.7
117,Greg Minor,SG,23,BOS,4,0,37,4.9,12.6,.385,0.0,0.0,,4.9,12.6,.385,1.0,1.0,1.000,1.0,0.0,1.0,1.9,1.0,1.0,1.0,2.9,10.7
